,host_response_time,host_response_rate,host_is_superhost,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,availability_30,number_of_reviews,instant_bookable,cancellation_policy,wifi,tv,ac,kitchen,hair_dryer,free_park
5351,2,1.0,0,1,1,1,2,1.0,1.0,1.0,1,95,2,2,43,0,1,1,0,0,0,0,0
5352,4,0.0,0,1,1,1,2,1.0,0.0,2.0,1,125,1,27,3,0,1,1,0,0,1,1,0
5353,1,1.0,1,1,1,2,2,1.0,1.0,2.0,1,85,1,6,71,0,3,1,1,1,1,1,0
5354,1,1.0,1,1,1,2,3,1.0,1.0,2.0,1,125,2,5,16,0,2,1,1,1,0,1,0
5355,4,0.3,0,1,1,1,3,1.0,1.0,1.0,1,125,1,21,9,0,3,0,0,0,0,0,0
5356,2,1.0,0,1,1,1,4,1.0,1.0,3.0,1,125,4,5,11,0,2,1,1,1,1,1,0
5357,3,0.8,0,1,1,2,2,2.0,1.0,1.0,1,40,30,0,26,0,2,1,1,0,1,0,0
5359,2,1.0,0,1,1,3,2,1.0,1.0,1.0,1,48,3,1,0,0,3,1,1,1,1,0,0
5360,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,40,2,3,5,0,1,1,1,1,1,1,0
5361,1,1.0,0,1,1,1,4,1.0,1.0,2.0,1,107,2,10,32,0,1,1,1,1,1,0,0
5362,1,1.0,0,1,1,1,15,1.0,3.0,12.0,1,99,1,14,22,0,2,1,1,1,1,0,0
5366,3,1.0,0,0,1,2,1,1.0,1.0,1.0,1,36,7,0,8,0,1,1,0,1,1,0,0
5369,2,0.88,0,1,1,2,2,1.0,1.0,1.0,1,47,1,16,21,0,1,1,0,1,1,1,1
5370,3,0.5,0,1,1,1,4,2.0,2.0,2.0,1,171,7,21,5,0,2,1,1,1,1,1,0
5371,3,1.0,0,1,1,1,2,1.0,1.0,1.0,1,100,3,0,7,0,1,1,1,1,1,1,0
5374,2,1.0,0,0,1,1,3,1.0,1.0,2.0,1,74,5,0,1,0,1,1,1,1,1,0,0
5376,3,1.0,0,1,1,1,2,1.0,1.0,1.0,1,50,5,0,1,0,2,1,1,1,1,1,1
5377,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,80,1,0,20,1,2,1,1,1,1,1,0
5378,2,1.0,1,1,1,1,10,1.0,4.0,4.0,1,200,2,2,16,0,2,1,1,1,1,1,0
5379,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,80,5,19,7,0,2,1,1,1,1,0,0
5380,3,1.0,0,0,1,1,2,1.0,1.0,1.0,1,129,3,0,0,0,3,1,1,0,1,0,0
5381,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,100,1,1,26,1,2,1,1,1,1,1,0
5382,3,0.75,1,1,1,2,2,1.0,1.0,1.0,1,65,2,1,23,0,3,1,0,1,1,0,0
5383,2,0.9,1,1,1,2,3,1.0,1.0,1.0,1,65,10,7,94,0,3,1,1,1,1,1,0
5384,1,1.0,0,1,1,1,3,1.0,1.0,2.0,2,70,30,17,3,0,1,1,1,1,1,1,0
