,host_response_time,host_response_rate,host_is_superhost,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,availability_30,number_of_reviews,instant_bookable,cancellation_policy,wifi,tv,ac,kitchen,hair_dryer,free_park
1,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,50,1,19,2,0,1,1,0,1,1,1,0
2,1,1.0,0,1,1,1,3,1.0,1.0,1.0,1,125,3,28,21,0,2,1,1,1,1,1,1
3,2,1.0,0,0,3,1,4,1.0,1.0,3.0,1,100,3,30,0,1,2,0,0,0,0,0,0
5,1,1.0,1,1,1,2,4,1.0,1.0,1.0,1,69,3,0,94,1,1,1,0,1,1,0,1
6,1,1.0,0,1,1,1,7,1.0,2.0,5.0,1,150,2,24,3,0,3,0,1,1,1,1,1
7,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,101,1,29,31,0,1,1,1,1,0,1,1
8,2,1.0,0,0,3,1,4,1.5,2.0,2.0,1,100,1,29,0,1,2,1,1,1,1,0,1
10,1,1.0,1,0,1,1,2,1.0,0.0,1.0,1,125,2,18,60,0,1,1,1,1,1,1,1
11,4,0.33,0,1,1,1,2,1.0,1.0,2.0,1,115,3,0,49,1,2,1,1,1,1,1,0
12,1,1.0,0,1,1,1,4,2.0,3.0,3.0,1,62,2,19,9,0,1,1,0,1,1,1,0
13,1,1.0,1,1,1,1,4,1.0,1.0,2.0,1,85,1,12,110,1,3,1,1,1,1,1,1
14,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,44,2,14,72,1,2,1,0,1,1,1,1
15,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,47,2,17,35,1,1,1,1,1,1,1,1
16,1,1.0,0,1,1,2,3,1.0,1.0,2.0,1,39,2,19,131,0,2,1,1,1,1,0,0
18,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,85,5,6,33,0,2,1,1,1,1,0,1
20,1,1.0,0,1,1,1,4,1.0,1.0,1.0,1,105,3,16,27,0,2,1,1,1,1,1,1
21,2,1.0,0,0,1,2,2,1.0,1.0,2.0,1,45,2,25,9,0,2,1,0,0,1,0,0
22,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,70,7,29,5,0,2,1,1,1,1,1,0
23,3,1.0,0,1,1,3,1,1.0,1.0,1.0,1,65,3,30,0,0,3,1,1,1,1,0,0
24,3,0.75,0,0,1,1,2,1.0,1.0,1.0,1,90,3,30,1,0,3,1,1,0,1,0,0
25,1,1.0,0,0,1,2,4,1.0,1.0,1.0,1,63,2,20,23,0,1,1,1,1,1,1,1
26,1,1.0,0,1,1,1,8,1.0,1.0,3.0,1,125,2,10,224,1,2,1,1,1,1,1,0
27,1,1.0,0,1,1,1,7,1.0,1.0,2.0,1,110,3,20,22,0,2,1,1,1,1,0,1
28,1,1.0,0,1,1,1,6,1.0,1.0,4.0,1,200,1,16,38,0,2,0,1,1,1,1,0
29,1,1.0,0,0,1,2,3,1.0,1.0,2.0,1,38,2,8,93,1,2,1,1,1,1,1,0
30,1,1.0,0,1,1,1,3,1.0,1.0,2.0,1,49,2,4,108,0,2,1,1,1,1,1,0
31,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,43,2,0,66,1,2,1,1,0,1,1,1
32,3,0.75,0,0,1,3,1,1.0,1.0,1.0,1,35,2,30,8,0,1,1,1,0,1,0,1
33,1,1.0,0,0,1,2,1,1.5,1.0,1.0,1,85,2,12,4,0,2,1,1,1,0,0,1
34,1,1.0,0,1,1,2,2,1.5,1.0,2.0,1,44,2,26,75,1,1,1,1,0,1,1,1
35,1,0.84,0,1,1,1,4,1.0,1.0,2.0,1,109,2,10,5,0,1,1,1,1,1,1,1
37,2,0.9,0,1,1,1,3,1.0,1.0,2.0,1,120,1,25,5,0,3,1,0,1,1,0,0
38,1,1.0,1,1,1,1,3,1.0,2.0,2.0,1,52,1,0,17,0,2,1,1,0,1,0,0
39,1,1.0,0,0,1,1,5,1.0,2.0,2.0,1,200,3,25,0,0,2,1,1,1,1,0,0
40,3,0.8,0,1,1,1,2,1.0,0.0,1.0,1,130,1,2,39,0,1,1,1,1,1,0,0
41,4,0.0,0,0,1,1,4,1.0,1.0,2.0,1,100,3,0,9,0,2,1,0,1,1,0,0
43,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,55,1,7,61,1,2,1,0,0,1,1,0
45,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,35,1,0,3,1,3,1,0,0,1,0,0
47,1,1.0,1,0,1,2,2,1.0,1.0,1.0,1,50,1,0,77,0,2,1,1,1,1,1,0
48,1,1.0,0,1,1,2,1,1.0,1.0,2.0,1,40,2,0,0,1,3,1,1,0,1,0,0
49,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,100,1,18,18,0,2,1,0,1,1,1,0
51,1,1.0,1,1,1,1,3,1.0,1.0,2.0,1,115,3,10,17,1,2,1,1,0,1,1,0
52,1,1.0,1,1,1,1,8,2.0,3.0,6.0,1,220,3,7,51,1,2,1,1,1,1,1,1
53,1,1.0,0,1,1,1,5,1.0,1.0,1.0,1,85,1,11,100,1,2,1,1,1,1,1,0
54,1,1.0,1,1,1,1,2,1.0,0.0,1.0,1,95,3,2,31,1,1,1,1,1,1,0,0
56,3,0.7,0,0,1,1,2,1.0,1.0,1.0,1,100,3,1,29,0,1,1,1,1,1,0,0
58,1,1.0,0,1,1,1,6,1.0,2.0,2.0,1,130,2,0,3,0,3,1,1,1,1,1,0
60,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,55,1,23,62,0,2,1,1,1,1,1,0
61,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,45,1,17,60,0,2,1,1,1,1,1,0
63,3,0.84,1,1,1,2,2,1.0,1.0,2.0,1,65,1,2,48,0,1,1,0,0,1,0,0
64,3,0.75,0,1,1,2,2,1.0,1.0,1.0,1,85,5,24,3,0,1,1,1,1,1,0,0
65,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,54,2,0,70,0,2,1,1,1,1,1,0
66,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,100,3,13,24,0,2,1,0,1,1,1,0
67,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,40,1,23,66,0,2,1,1,1,1,1,0
69,2,1.0,0,0,1,2,3,1.0,1.0,1.0,1,200,1,29,5,0,3,1,1,0,1,1,0
75,3,0.9,0,1,1,1,4,2.0,2.0,2.0,1,125,6,0,3,0,2,1,1,1,1,1,0
76,1,1.0,0,1,1,1,4,1.0,1.0,2.0,1,89,7,16,134,0,2,1,1,1,1,1,1
77,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,45,1,10,119,1,2,1,1,1,1,0,1
78,3,1.0,0,1,1,2,2,1.0,1.0,1.0,1,129,1,27,0,1,2,1,0,1,1,1,0
79,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,200,1,26,8,0,1,1,1,1,1,1,1
80,2,1.0,1,0,1,2,1,1.0,1.0,1.0,1,45,6,0,16,0,2,1,0,1,1,1,0
81,3,1.0,0,1,1,2,2,1.0,1.0,1.0,1,75,3,0,1,0,1,1,0,1,1,1,0
82,1,0.99,0,1,1,2,6,1.0,1.0,3.0,1,100,1,7,58,0,1,1,0,1,1,0,0
83,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,125,1,18,3,0,2,1,1,1,1,1,0
84,1,1.0,1,1,1,1,7,1.0,3.0,4.0,1,188,6,2,64,1,2,1,1,1,1,1,0
85,1,1.0,1,1,1,1,4,1.0,0.0,3.0,1,99,1,13,21,0,2,1,1,0,1,1,0
86,2,1.0,0,1,1,1,4,1.0,1.0,1.0,1,125,1,18,9,1,2,1,1,1,1,1,0
87,2,1.0,0,1,1,1,6,1.0,2.0,2.0,1,150,2,7,38,0,2,1,1,1,1,0,0
88,2,1.0,1,0,1,1,7,1.0,3.0,5.0,1,181,6,0,35,0,2,1,1,1,1,1,1
89,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,55,1,10,10,1,3,1,1,1,1,1,0
90,1,1.0,1,1,1,1,1,1.0,1.0,1.0,1,68,28,0,41,0,2,1,1,1,1,1,0
91,3,0.5,1,1,1,1,4,1.0,2.0,2.0,1,110,30,1,16,0,2,1,1,1,1,1,0
92,3,0.75,0,1,1,2,2,1.0,1.0,1.0,1,80,7,28,1,0,3,1,1,1,1,0,0
93,1,1.0,0,1,1,1,4,1.0,1.0,2.0,1,150,1,4,23,1,1,1,1,1,1,0,0
94,1,1.0,0,1,1,2,3,1.0,1.0,1.0,1,65,5,24,5,0,2,1,1,0,1,0,0
95,2,1.0,0,1,1,1,2,1.0,1.0,2.0,1,110,2,1,12,0,1,1,1,1,1,1,0
96,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,2,0,6,0,3,1,1,1,1,1,0
97,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,50,2,0,4,0,1,1,1,1,1,1,1
98,1,1.0,0,1,1,2,3,1.0,1.0,1.0,1,60,1,9,97,1,2,1,0,0,1,1,0
99,1,1.0,0,0,1,2,2,1.0,1.0,2.0,1,40,1,19,199,0,2,1,1,1,1,1,1
100,2,1.0,0,1,1,1,6,1.0,2.0,2.0,1,133,1,9,1,1,2,1,1,1,1,1,0
101,1,1.0,0,1,1,1,4,1.0,2.0,2.0,1,165,1,14,14,1,1,1,1,1,1,1,0
102,1,1.0,0,1,1,1,4,1.0,1.0,2.0,1,95,1,1,78,0,1,1,1,1,1,1,0
104,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,46,1,0,0,0,3,1,0,1,1,1,1
105,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,69,1,9,67,1,1,1,0,1,1,1,0
107,2,0.9,0,1,1,3,1,1.0,1.0,1.0,2,49,1,29,0,0,3,1,0,0,0,0,1
108,2,1.0,0,1,3,1,6,1.0,2.0,3.0,1,200,3,1,0,0,1,1,1,1,1,1,0
109,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,80,1,2,9,1,1,1,1,1,1,1,0
110,1,1.0,0,1,1,1,3,1.0,2.0,2.0,1,200,3,7,2,1,1,1,1,1,1,1,0
111,2,0.9,0,1,1,1,6,1.0,2.0,5.0,1,199,5,29,1,0,2,1,1,1,1,1,1
114,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,79,2,28,1,0,1,1,1,1,1,1,0
115,1,1.0,0,1,1,2,2,2.0,1.0,1.0,1,45,2,2,14,0,1,1,1,1,1,1,0
116,3,1.0,0,0,1,1,1,1.0,0.0,1.0,1,90,1,26,1,0,3,1,0,1,0,0,0
117,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,40,2,2,3,0,3,1,1,1,1,1,0
118,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,59,1,18,11,0,2,1,1,1,1,0,0
120,1,1.0,0,1,1,1,2,1.0,1.0,2.0,1,89,3,1,20,1,3,1,1,1,1,1,0
124,2,1.0,1,0,1,2,1,1.0,1.0,1.0,1,45,6,0,4,0,2,1,1,0,1,1,0
125,1,1.0,0,1,1,2,3,1.0,1.0,1.0,1,45,2,16,95,1,2,1,0,1,1,1,0
126,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,75,1,24,3,0,1,1,1,1,1,1,0
127,1,0.69,0,1,1,1,6,1.0,2.0,4.0,1,140,1,7,16,1,2,1,1,1,1,1,0
129,1,0.9,0,1,1,2,2,1.0,1.0,2.0,1,80,2,10,15,0,2,1,1,1,1,1,0
130,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,112,1,3,1,1,1,1,1,1,1,1,1
131,1,1.0,0,1,1,2,3,1.0,1.0,3.0,1,87,1,0,2,0,2,1,1,1,1,0,0
132,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,60,1,0,0,1,3,1,1,1,1,1,0
133,2,1.0,0,1,1,1,6,1.0,2.0,4.0,1,130,1,9,7,1,2,1,1,1,1,1,0
135,2,1.0,1,1,1,2,2,1.0,1.0,2.0,1,60,6,0,3,0,2,1,0,1,1,0,0
137,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,100,3,27,22,0,2,1,0,1,1,1,0
140,3,0.88,0,1,1,2,1,1.0,1.0,1.0,1,85,1,0,5,0,1,1,1,1,1,1,0
142,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,80,1,26,8,1,1,1,0,1,1,1,1
143,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,159,1,30,25,0,1,1,1,1,0,0,1
144,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,1,9,14,0,3,1,0,1,1,1,1
145,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,34,21,6,0,0,2,1,0,1,1,0,0
146,1,1.0,0,0,1,2,1,1.0,1.0,1.0,1,40,1,3,13,1,2,1,1,1,1,1,0
147,2,0.8,0,1,1,1,7,1.0,2.0,3.0,1,130,1,9,27,1,2,1,1,1,1,0,0
150,3,0.71,0,0,1,2,1,1.0,1.0,1.0,1,70,3,19,0,0,1,1,1,1,1,1,0
152,2,0.9,0,0,1,2,1,1.0,1.0,1.0,1,60,1,0,0,0,2,0,0,0,0,0,0
153,1,0.99,0,1,1,2,2,1.0,1.0,1.0,1,50,1,4,67,1,1,1,0,1,1,0,0
154,3,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,1,30,4,0,1,1,1,1,1,0,0
155,2,1.0,0,1,1,2,2,1.5,1.0,1.0,1,84,2,7,22,0,1,1,0,1,1,1,1
156,2,0.9,0,1,1,1,5,1.0,1.0,2.0,1,115,1,18,29,1,2,1,1,1,1,0,0
157,1,1.0,1,1,1,1,12,1.0,3.0,5.0,1,225,3,5,79,1,2,1,1,1,1,1,0
158,1,1.0,0,0,1,2,2,2.0,1.0,1.0,1,60,1,19,0,1,3,1,1,1,1,1,0
159,3,0.8,0,1,1,1,4,1.0,1.0,2.0,1,129,12,0,9,0,2,1,1,1,1,1,1
160,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,165,3,10,5,1,2,1,1,1,1,0,0
161,2,1.0,0,0,1,2,1,1.0,1.0,1.0,1,49,1,0,0,0,3,1,1,1,1,1,0
162,3,0.67,0,1,1,2,2,1.0,1.0,1.0,1,69,1,5,67,0,3,1,1,1,1,0,0
163,1,1.0,0,1,1,1,5,1.0,1.0,2.0,1,120,1,3,128,0,2,1,1,1,1,1,0
164,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,75,1,7,0,0,1,1,1,1,1,1,0
167,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,50,1,6,98,1,2,1,0,0,1,1,0
168,1,1.0,0,1,1,1,3,1.0,1.0,1.0,1,159,1,1,15,0,1,1,1,1,1,1,1
170,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,47,2,5,2,1,1,1,0,1,0,1,1
171,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,50,1,15,57,0,2,1,1,1,1,1,0
172,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,49,1,2,1,0,3,1,1,1,1,1,0
173,3,0.89,0,1,1,1,7,1.0,2.0,2.0,1,135,1,7,27,1,2,1,1,1,1,1,0
174,1,1.0,0,1,1,2,2,1.0,1.0,2.0,1,60,1,0,2,1,3,1,1,0,1,1,0
175,1,1.0,1,1,1,2,1,1.0,1.0,1.0,1,45,1,0,18,0,1,1,0,0,1,1,0
177,1,1.0,1,1,1,1,11,1.0,3.0,6.0,2,153,2,4,43,1,2,1,1,1,1,1,0
178,2,1.0,0,0,1,2,2,1.0,1.0,2.0,1,85,3,30,2,0,3,1,1,1,1,0,0
179,1,1.0,0,1,1,1,2,1.0,0.0,1.0,1,89,14,4,12,0,2,1,1,1,1,1,0
180,1,0.99,0,1,1,2,4,1.0,1.0,2.0,1,90,1,11,47,1,1,1,1,1,1,0,0
181,2,0.83,0,1,1,1,4,1.0,1.0,1.0,1,120,1,9,3,1,2,1,1,1,1,1,0
185,1,1.0,0,0,1,1,5,1.0,1.0,3.0,1,215,7,24,26,0,1,1,1,1,1,1,0
186,3,1.0,0,1,3,1,2,1.0,1.0,1.0,1,90,5,0,1,0,3,1,1,1,1,1,0
187,1,1.0,0,0,1,1,2,1.0,1.0,1.0,1,99,1,0,42,0,3,1,1,1,1,0,0
188,1,1.0,0,1,1,1,4,1.0,2.0,2.0,1,250,1,30,0,0,3,1,1,1,1,0,0
191,3,1.0,0,1,1,1,2,1.0,1.0,1.0,1,105,1,0,0,0,3,1,1,1,1,0,0
193,1,1.0,1,0,1,2,2,1.0,1.0,1.0,1,70,2,14,25,0,2,1,0,1,1,1,0
194,1,1.0,0,1,1,1,4,1.0,1.0,1.0,1,99,1,12,16,0,1,1,1,1,1,1,0
195,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,54,1,12,104,1,2,1,1,1,1,1,0
196,3,0.5,0,1,1,2,4,1.0,2.0,4.0,1,250,1,23,0,1,3,1,1,1,1,1,0
197,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,70,3,27,13,0,3,1,1,1,1,1,0
198,1,1.0,0,0,1,1,2,1.0,1.0,1.0,1,73,3,0,7,0,2,1,1,1,1,0,0
201,2,1.0,1,1,1,2,2,1.0,1.0,1.0,1,75,2,2,23,0,1,1,1,1,1,1,0
203,2,1.0,1,0,1,2,1,1.0,1.0,1.0,1,50,6,0,1,0,2,1,0,0,1,0,0
204,1,1.0,0,1,1,2,4,1.0,1.0,1.0,1,45,1,12,129,1,2,1,0,1,1,1,0
205,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,50,1,7,132,1,2,1,0,0,1,1,0
207,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,60,1,4,2,0,2,1,0,1,1,1,0
208,2,1.0,0,0,1,2,2,1.0,1.0,1.0,1,60,2,27,5,0,3,0,0,0,0,0,0
209,1,1.0,0,1,1,1,2,1.0,1.0,3.0,1,150,1,26,0,0,1,1,1,1,1,1,0
210,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,65,5,1,37,0,2,1,0,1,1,1,0
212,2,1.0,1,1,1,1,3,1.0,1.0,2.0,1,105,5,0,63,0,2,1,1,1,1,1,1
213,1,1.0,0,1,1,1,6,1.0,1.0,3.0,1,83,2,8,100,1,2,1,1,1,1,1,1
214,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,125,1,0,5,1,3,1,1,1,1,1,0
216,3,1.0,0,0,1,2,1,1.0,1.0,1.0,1,45,2,0,6,0,3,1,1,1,1,1,0
217,1,1.0,0,0,1,2,1,1.0,1.0,1.0,1,70,3,9,7,1,3,1,1,0,1,0,0
218,1,1.0,0,1,1,2,1,2.0,1.0,1.0,1,49,1,2,14,1,2,1,1,1,1,1,0
219,1,0.99,0,1,1,2,2,1.0,1.0,1.0,1,60,1,7,105,1,1,1,0,1,1,0,1
221,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,58,1,3,7,0,3,1,1,1,1,1,0
222,1,1.0,0,1,1,1,10,1.5,3.0,6.0,1,140,2,1,11,0,2,1,1,1,1,0,0
223,1,1.0,0,1,1,1,4,1.0,2.0,2.0,1,180,3,7,67,1,2,1,1,1,1,1,0
224,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,80,7,29,2,0,3,1,1,1,1,1,0
225,1,0.9,0,1,1,1,4,1.0,1.0,2.0,1,106,5,5,5,1,1,1,0,1,1,0,0
227,1,1.0,0,0,1,1,8,1.0,3.0,3.0,1,200,2,12,4,1,1,1,0,1,1,1,0
228,2,1.0,0,1,1,1,5,1.0,2.0,3.0,1,200,2,26,7,0,2,1,1,1,1,1,0
229,1,1.0,0,0,1,2,1,1.0,1.0,1.0,1,49,1,0,6,0,2,1,0,0,0,0,0
230,2,1.0,1,1,1,2,1,1.0,1.0,1.0,1,55,5,18,13,0,2,1,0,1,0,1,1
231,1,1.0,0,0,1,2,2,1.0,1.0,1.0,1,90,4,29,1,1,3,1,1,1,1,0,0
232,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,95,2,6,67,0,2,1,1,1,1,1,0
233,2,1.0,0,1,1,1,3,1.0,1.0,1.0,1,65,1,27,9,0,2,1,1,1,1,1,1
235,1,1.0,1,1,1,1,8,1.0,3.0,5.0,1,178,6,5,161,1,2,1,1,1,1,1,0
237,2,0.9,0,1,1,1,2,1.0,1.0,1.0,1,75,4,10,24,0,3,1,1,1,1,1,0
238,2,1.0,0,1,1,1,5,1.0,2.0,2.0,1,117,20,0,0,0,3,1,1,1,1,1,1
240,3,0.83,0,1,1,1,6,1.0,2.0,2.0,1,130,1,6,2,1,2,1,1,1,1,1,0
241,1,1.0,0,1,1,1,2,1.0,0.0,1.0,1,100,1,3,30,1,2,1,1,1,1,0,0
243,1,1.0,1,1,1,1,14,3.0,3.0,12.0,1,360,1,2,14,1,1,1,1,1,1,1,0
244,1,1.0,1,1,1,1,7,2.0,2.0,6.0,1,199,1,2,48,1,1,1,1,1,1,1,0
245,2,1.0,0,0,1,1,2,1.0,1.0,2.0,1,89,5,11,6,0,2,1,1,1,1,1,0
246,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,100,1,0,2,1,3,1,1,1,1,0,0
247,1,1.0,1,0,1,2,1,1.0,1.0,1.0,1,47,1,24,11,0,2,1,0,0,0,0,0
248,2,1.0,0,1,1,2,2,1.0,1.0,1.0,1,50,3,0,0,0,1,1,0,1,1,1,0
250,3,1.0,0,0,1,1,2,1.0,1.0,2.0,1,85,5,12,1,0,2,1,1,1,1,1,0
251,3,0.8,0,0,1,1,2,1.0,0.0,1.0,1,160,1,6,2,0,1,1,1,1,1,0,0
253,1,1.0,0,0,1,1,2,1.0,1.0,1.0,1,100,1,1,101,1,3,1,1,1,1,1,0
254,1,1.0,0,1,1,1,3,1.0,1.0,1.0,1,55,2,0,2,0,2,1,0,1,1,0,0
255,1,1.0,0,0,1,1,4,1.0,2.0,3.0,1,160,5,0,1,1,3,1,1,1,1,1,1
256,1,1.0,0,1,1,1,6,2.0,2.0,3.0,1,235,2,9,21,0,1,1,1,1,1,0,0
257,1,1.0,0,1,1,2,4,1.0,1.0,3.0,1,40,1,9,179,0,2,1,1,1,1,1,1
258,3,0.5,0,1,1,1,6,1.0,2.0,3.0,1,280,1,27,0,0,2,1,1,1,1,1,0
259,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,68,1,25,4,0,1,1,1,0,1,1,0
260,2,1.0,0,0,1,1,3,1.0,1.0,1.0,1,100,1,0,6,0,2,1,1,1,1,0,0
261,1,1.0,0,1,1,2,2,2.0,1.0,1.0,1,55,1,10,10,1,2,1,1,1,1,1,0
262,1,1.0,0,1,1,2,3,1.0,1.0,2.0,1,76,1,0,0,1,3,1,1,1,1,0,0
263,1,1.0,0,1,1,1,3,1.0,2.0,2.0,1,133,3,2,42,0,1,1,1,1,1,1,1
264,2,0.9,0,1,1,2,6,1.0,1.0,4.0,1,42,1,30,124,0,2,1,1,1,1,1,1
265,1,1.0,0,1,1,2,2,2.0,1.0,1.0,1,59,1,8,6,1,2,1,1,1,1,1,0
266,1,1.0,1,1,1,1,4,1.0,2.0,2.0,1,160,2,10,121,0,1,1,1,1,1,1,0
267,1,1.0,0,1,1,2,3,1.0,1.0,2.0,1,59,1,17,22,1,2,1,0,1,1,1,0
268,1,0.99,0,1,1,2,1,1.0,1.0,1.0,1,55,1,7,77,1,1,1,0,1,1,0,0
269,3,1.0,0,1,1,2,1,1.0,1.0,1.0,1,32,3,3,67,0,3,1,1,0,0,0,0
272,4,0.0,0,1,1,2,2,1.0,1.0,1.0,1,450,1,30,0,0,3,1,1,1,1,0,0
273,3,0.71,0,0,1,1,2,1.0,1.0,1.0,1,100,3,0,1,0,2,1,1,1,1,1,0
274,2,0.88,0,0,1,1,4,1.0,1.0,1.0,1,110,1,18,4,1,1,1,1,1,1,1,0
277,3,0.7,0,1,1,2,10,2.0,8.0,8.0,1,30,7,0,1,0,2,1,1,1,1,1,1
282,1,1.0,1,1,1,1,5,1.0,1.0,2.0,1,120,1,4,77,0,2,1,1,1,1,1,0
283,2,0.9,0,0,1,3,1,1.0,1.0,1.0,1,48,2,30,5,0,1,0,0,0,0,0,0
285,3,0.75,0,1,1,2,1,1.0,1.0,1.0,1,50,2,0,13,0,2,1,1,1,1,1,0
286,1,0.6,0,1,1,1,4,1.0,1.0,1.0,1,138,1,9,55,1,2,1,1,1,1,1,0
287,1,1.0,0,1,1,1,3,1.0,2.0,3.0,1,70,2,1,8,0,2,1,0,1,1,1,0
290,1,1.0,1,1,1,2,2,1.0,1.0,1.0,1,70,1,22,13,0,3,1,1,1,1,1,0
291,3,1.0,0,1,1,2,1,1.0,1.0,1.0,1,105,1,22,0,1,3,1,0,1,0,0,0
295,3,0.8,0,1,1,1,2,1.0,1.0,1.0,1,95,3,30,0,0,2,1,0,1,1,1,1
296,1,1.0,0,1,1,1,6,1.0,1.0,4.0,1,135,3,7,15,0,1,1,1,1,1,0,0
298,1,1.0,0,1,1,1,6,1.0,2.0,2.0,1,174,5,25,0,0,1,1,1,1,1,1,0
299,1,1.0,1,1,1,1,7,1.0,2.0,4.0,1,188,2,0,156,1,2,1,1,1,1,1,0
301,1,1.0,0,1,1,1,2,1.0,1.0,1.0,2,80,2,0,6,0,2,1,1,1,1,1,0
302,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,59,1,20,14,1,2,1,1,1,0,0,0
303,1,1.0,0,0,1,2,1,1.0,1.0,1.0,1,125,2,0,0,0,3,1,0,1,1,0,0
305,1,1.0,0,0,1,2,3,1.0,1.0,2.0,1,150,2,23,0,0,3,1,1,1,1,0,0
306,1,1.0,1,0,1,1,6,1.0,2.0,4.0,1,100,3,4,22,1,2,1,1,1,1,1,0
307,1,1.0,0,1,1,1,4,1.0,2.0,2.0,1,140,4,10,11,0,2,1,1,1,1,1,1
310,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,60,1,0,1,0,1,1,1,0,1,1,1
313,1,1.0,1,1,1,1,4,1.0,1.0,3.0,1,95,2,15,20,1,2,1,1,1,0,1,0
314,2,1.0,1,1,1,2,2,1.0,1.0,1.0,1,59,1,11,117,0,2,1,1,1,1,1,0
315,1,0.99,0,1,1,2,1,1.0,1.0,1.0,1,35,1,2,103,1,3,1,0,0,0,0,0
316,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,45,1,9,93,0,2,1,1,1,1,1,0
318,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,55,5,28,25,0,2,1,1,0,1,0,0
320,1,1.0,1,1,1,2,2,1.0,1.0,2.0,1,80,1,4,2,1,1,1,1,1,1,1,0
321,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,65,1,28,0,0,3,1,1,1,1,1,0
322,2,1.0,0,1,1,1,4,1.0,1.0,2.0,1,95,1,4,67,0,2,1,1,1,1,1,0
323,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,38,2,1,11,0,3,1,1,1,1,1,0
324,1,1.0,1,0,1,2,4,1.0,1.0,1.0,1,60,1,27,12,1,2,1,1,1,1,1,1
325,2,1.0,1,0,1,2,2,1.0,1.0,2.0,1,65,5,16,9,0,2,1,0,1,0,0,0
326,2,1.0,0,0,1,2,2,1.0,1.0,1.0,1,60,2,0,8,0,3,1,1,1,1,1,1
329,1,1.0,0,1,1,2,2,1.5,1.0,1.0,1,50,1,6,7,0,3,1,1,1,1,1,1
330,2,1.0,1,0,1,1,3,1.0,1.0,1.0,1,70,2,6,27,0,2,1,1,1,1,1,0
331,1,1.0,1,1,1,2,1,1.0,1.0,1.0,1,35,3,20,42,1,1,1,1,1,1,0,0
333,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,28,2,14,38,0,1,1,1,1,1,1,0
